umbral_ma1,umbral_ma2,retorno_pct,total_trades,capital_final,win_rate,convergencias_detectadas,convergencias_filtradas
0.00020000000000000004,0.00020000000000000004,-1.858515954614802,10,981.414840453852,0.0,521,43
0.00020000000000000004,0.00027738377130600574,-1.683588882032427,9,983.1641111796757,0.0,517,43
0.00020000000000000004,0.00038470878291971207,-1.683588882032427,9,983.1641111796757,0.0,514,43
0.00020000000000000004,0.0005335598653040656,-1.78629925152253,10,982.1370074847747,0.0,502,43
0.00020000000000000004,0.0007400042382778307,-1.6545649396582005,10,983.454350603418,0.0,497,39
0.00020000000000000004,0.0010263258319796638,-1.6545649396582005,10,983.454350603418,0.0,488,39
0.00020000000000000004,0.001423430649316464,-1.78629925152253,10,982.1370074847747,0.0,476,39
0.00020000000000000004,0.0019741828084997846,-1.6528217756342427,9,983.4717822436576,0.0,453,35
0.00020000000000000004,0.0027380313633457616,-1.5209084300577274,9,984.7909156994227,0.0,422,33
0.00020000000000000004,0.0037974273275948587,-1.1596436356958066,7,988.4035636430419,0.0,391,27
0.00020000000000000004,0.0052667235669437385,-1.312784681753908,8,986.8721531824609,0.0,344,23
0.00020000000000000004,0.007304518227125356,-0.9406793092180464,6,990.5932069078195,0.0,274,16
0.00020000000000000004,0.010130774067067451,-0.46400192644804295,4,995.3599807355196,0.0,205,12
0.00020000000000000004,0.01405056158486125,-0.3012478558632097,3,996.9875214413679,0.0,146,8
0.00020000000000000004,0.0194869888068805,-0.1510592916083624,2,998.4894070839164,0.0,66,4
0.00020000000000000004,0.02702687223325214,-0.022729738679333877,1,999.7727026132067,0.0,26,4
0.00020000000000000004,0.03748407873332524,-0.1412350380248995,1,998.587649619751,0.0,14,2
0.00020000000000000004,0.051987375614905004,0.0,0,1000.0,0.0,5,1
0.00020000000000000004,0.07210227154182107,0.0,0,1000.0,0.0,2,1
0.00020000000000000004,0.1,0.0,0,1000.0,0.0,1,1
0.00027738377130600574,0.00020000000000000004,-1.858515954614802,10,981.414840453852,0.0,520,43
0.00027738377130600574,0.00027738377130600574,-1.683588882032427,9,983.1641111796757,0.0,516,43
0.00027738377130600574,0.00038470878291971207,-1.683588882032427,9,983.1641111796757,0.0,513,43
0.00027738377130600574,0.0005335598653040656,-1.78629925152253,10,982.1370074847747,0.0,501,43
0.00027738377130600574,0.0007400042382778307,-1.6545649396582005,10,983.454350603418,0.0,496,39
0.00027738377130600574,0.0010263258319796638,-1.6545649396582005,10,983.454350603418,0.0,487,39
0.00027738377130600574,0.001423430649316464,-1.78629925152253,10,982.1370074847747,0.0,475,39
0.00027738377130600574,0.0019741828084997846,-1.6528217756342427,9,983.4717822436576,0.0,452,35
0.00027738377130600574,0.0027380313633457616,-1.5209084300577274,9,984.7909156994227,0.0,422,33
0.00027738377130600574,0.0037974273275948587,-1.1596436356958066,7,988.4035636430419,0.0,391,27
0.00027738377130600574,0.0052667235669437385,-1.312784681753908,8,986.8721531824609,0.0,344,23
0.00027738377130600574,0.007304518227125356,-0.9406793092180464,6,990.5932069078195,0.0,274,16
0.00027738377130600574,0.010130774067067451,-0.46400192644804295,4,995.3599807355196,0.0,205,12
0.00027738377130600574,0.01405056158486125,-0.3012478558632097,3,996.9875214413679,0.0,146,8
0.00027738377130600574,0.0194869888068805,-0.1510592916083624,2,998.4894070839164,0.0,66,4
0.00027738377130600574,0.02702687223325214,-0.022729738679333877,1,999.7727026132067,0.0,26,4
0.00027738377130600574,0.03748407873332524,-0.1412350380248995,1,998.587649619751,0.0,14,2
0.00027738377130600574,0.051987375614905004,0.0,0,1000.0,0.0,5,1
0.00027738377130600574,0.07210227154182107,0.0,0,1000.0,0.0,2,1
0.00027738377130600574,0.1,0.0,0,1000.0,0.0,1,1
0.00038470878291971207,0.00020000000000000004,-1.7268785072165882,10,982.7312149278341,0.0,515,41
0.00038470878291971207,0.00027738377130600574,-1.5517168044618417,9,984.4828319553816,0.0,512,41
0.00038470878291971207,0.00038470878291971207,-1.5517168044618417,9,984.4828319553816,0.0,509,41
0.00038470878291971207,0.0005335598653040656,-1.6545649396582005,10,983.454350603418,0.0,497,41
0.00038470878291971207,0.0007400042382778307,-1.6545649396582005,10,983.454350603418,0.0,493,39
0.00038470878291971207,0.0010263258319796638,-1.6545649396582005,10,983.454350603418,0.0,484,39
0.00038470878291971207,0.001423430649316464,-1.78629925152253,10,982.1370074847747,0.0,472,39
0.00038470878291971207,0.0019741828084997846,-1.6528217756342427,9,983.4717822436576,0.0,449,35
0.00038470878291971207,0.0027380313633457616,-1.5209084300577274,9,984.7909156994227,0.0,420,33
0.00038470878291971207,0.0037974273275948587,-1.1596436356958066,7,988.4035636430419,0.0,389,27
0.00038470878291971207,0.0052667235669437385,-1.312784681753908,8,986.8721531824609,0.0,343,23
0.00038470878291971207,0.007304518227125356,-0.9406793092180464,6,990.5932069078195,0.0,273,16
0.00038470878291971207,0.010130774067067451,-0.46400192644804295,4,995.3599807355196,0.0,205,12
0.00038470878291971207,0.01405056158486125,-0.3012478558632097,3,996.9875214413679,0.0,146,8
0.00038470878291971207,0.0194869888068805,-0.1510592916083624,2,998.4894070839164,0.0,66,4
0.00038470878291971207,0.02702687223325214,-0.022729738679333877,1,999.7727026132067,0.0,26,4
0.00038470878291971207,0.03748407873332524,-0.1412350380248995,1,998.587649619751,0.0,14,2
0.00038470878291971207,0.051987375614905004,0.0,0,1000.0,0.0,5,1
0.00038470878291971207,0.07210227154182107,0.0,0,1000.0,0.0,2,1
0.00038470878291971207,0.1,0.0,0,1000.0,0.0,1,1
0.0005335598653040656,0.00020000000000000004,-1.7268785072165882,10,982.7312149278341,0.0,513,41
0.0005335598653040656,0.00027738377130600574,-1.5517168044618417,9,984.4828319553816,0.0,510,41
0.0005335598653040656,0.00038470878291971207,-1.5517168044618417,9,984.4828319553816,0.0,507,41
0.0005335598653040656,0.0005335598653040656,-1.6545649396582005,10,983.454350603418,0.0,496,41
0.0005335598653040656,0.0007400042382778307,-1.6545649396582005,10,983.454350603418,0.0,492,39
0.0005335598653040656,0.0010263258319796638,-1.6545649396582005,10,983.454350603418,0.0,483,39
0.0005335598653040656,0.001423430649316464,-1.78629925152253,10,982.1370074847747,0.0,471,39
0.0005335598653040656,0.0019741828084997846,-1.6528217756342427,9,983.4717822436576,0.0,448,35
0.0005335598653040656,0.0027380313633457616,-1.5209084300577274,9,984.7909156994227,0.0,419,33
0.0005335598653040656,0.0037974273275948587,-1.1596436356958066,7,988.4035636430419,0.0,388,27
0.0005335598653040656,0.0052667235669437385,-1.312784681753908,8,986.8721531824609,0.0,343,23
0.0005335598653040656,0.007304518227125356,-0.9406793092180464,6,990.5932069078195,0.0,273,16
0.0005335598653040656,0.010130774067067451,-0.46400192644804295,4,995.3599807355196,0.0,205,12
0.0005335598653040656,0.01405056158486125,-0.3012478558632097,3,996.9875214413679,0.0,146,8
0.0005335598653040656,0.0194869888068805,-0.1510592916083624,2,998.4894070839164,0.0,66,4
0.0005335598653040656,0.02702687223325214,-0.022729738679333877,1,999.7727026132067,0.0,26,4
0.0005335598653040656,0.03748407873332524,-0.1412350380248995,1,998.587649619751,0.0,14,2
0.0005335598653040656,0.051987375614905004,0.0,0,1000.0,0.0,5,1
0.0005335598653040656,0.07210227154182107,0.0,0,1000.0,0.0,2,1
0.0005335598653040656,0.1,0.0,0,1000.0,0.0,1,1
0.0007400042382778307,0.00020000000000000004,-1.7250739897037077,10,982.7492601029629,0.0,506,39
0.0007400042382778307,0.00027738377130600574,-1.5499090705826235,9,984.5009092941738,0.0,503,39
0.0007400042382778307,0.00038470878291971207,-1.5499090705826235,9,984.5009092941738,0.0,500,39
0.0007400042382778307,0.0005335598653040656,-1.652759094304133,10,983.4724090569587,0.0,490,39
0.0007400042382778307,0.0007400042382778307,-1.652759094304133,10,983.4724090569587,0.0,486,37
0.0007400042382778307,0.0010263258319796638,-1.652759094304133,10,983.4724090569587,0.0,477,37
0.0007400042382778307,0.001423430649316464,-1.7844958251093204,10,982.1550417489068,0.0,465,37
0.0007400042382778307,0.0019741828084997846,-1.4449653050097255,8,985.5503469499027,0.0,442,35
0.0007400042382778307,0.0027380313633457616,-1.3127731609670377,8,986.8722683903296,0.0,414,33
0.0007400042382778307,0.0037974273275948587,-1.1596436356958066,7,988.4035636430419,0.0,383,27
0.0007400042382778307,0.0052667235669437385,-1.1042095437360557,7,988.9579045626394,0.0,339,23
0.0007400042382778307,0.007304518227125356,-0.8942959844057555,6,991.0570401559424,0.0,270,16
0.0007400042382778307,0.010130774067067451,-0.46400192644804295,4,995.3599807355196,0.0,203,12
0.0007400042382778307,0.01405056158486125,-0.3012478558632097,3,996.9875214413679,0.0,146,8
0.0007400042382778307,0.0194869888068805,-0.1510592916083624,2,998.4894070839164,0.0,66,4
0.0007400042382778307,0.02702687223325214,-0.022729738679333877,1,999.7727026132067,0.0,26,4
0.0007400042382778307,0.03748407873332524,-0.1412350380248995,1,998.587649619751,0.0,14,2
0.0007400042382778307,0.051987375614905004,0.0,0,1000.0,0.0,5,1
0.0007400042382778307,0.07210227154182107,0.0,0,1000.0,0.0,2,1
0.0007400042382778307,0.1,0.0,0,1000.0,0.0,1,1
0.0010263258319796638,0.00020000000000000004,-1.7250739897037077,10,982.7492601029629,0.0,502,39
0.0010263258319796638,0.00027738377130600574,-1.5499090705826235,9,984.5009092941738,0.0,499,39
0.0010263258319796638,0.00038470878291971207,-1.5499090705826235,9,984.5009092941738,0.0,497,39
0.0010263258319796638,0.0005335598653040656,-1.652759094304133,10,983.4724090569587,0.0,487,39
0.0010263258319796638,0.0007400042382778307,-1.652759094304133,10,983.4724090569587,0.0,483,37
0.0010263258319796638,0.0010263258319796638,-1.652759094304133,10,983.4724090569587,0.0,475,37
0.0010263258319796638,0.001423430649316464,-1.7844958251093204,10,982.1550417489068,0.0,464,37
0.0010263258319796638,0.0019741828084997846,-1.4449653050097255,8,985.5503469499027,0.0,441,35
0.0010263258319796638,0.0027380313633457616,-1.3127731609670377,8,986.8722683903296,0.0,413,33
0.0010263258319796638,0.0037974273275948587,-1.1596436356958066,7,988.4035636430419,0.0,382,27
0.0010263258319796638,0.0052667235669437385,-1.1042095437360557,7,988.9579045626394,0.0,338,23
0.0010263258319796638,0.007304518227125356,-0.8942959844057555,6,991.0570401559424,0.0,270,16
0.0010263258319796638,0.010130774067067451,-0.46400192644804295,4,995.3599807355196,0.0,203,12
0.0010263258319796638,0.01405056158486125,-0.3012478558632097,3,996.9875214413679,0.0,146,8
0.0010263258319796638,0.0194869888068805,-0.1510592916083624,2,998.4894070839164,0.0,66,4
0.0010263258319796638,0.02702687223325214,-0.022729738679333877,1,999.7727026132067,0.0,26,4
0.0010263258319796638,0.03748407873332524,-0.1412350380248995,1,998.587649619751,0.0,14,2
0.0010263258319796638,0.051987375614905004,0.0,0,1000.0,0.0,5,1
0.0010263258319796638,0.07210227154182107,0.0,0,1000.0,0.0,2,1
0.0010263258319796638,0.1,0.0,0,1000.0,0.0,1,1
0.001423430649316464,0.00020000000000000004,-1.8567138542641488,10,981.4328614573585,0.0,495,39
0.001423430649316464,0.00027738377130600574,-1.6817835696238035,9,983.182164303762,0.0,492,39
0.001423430649316464,0.00038470878291971207,-1.6817835696238035,9,983.182164303762,0.0,490,39
0.001423430649316464,0.0005335598653040656,-1.7844958251093204,10,982.1550417489068,0.0,480,39
0.001423430649316464,0.0007400042382778307,-1.7844958251093204,10,982.1550417489068,0.0,476,37
0.001423430649316464,0.0010263258319796638,-1.7844958251093204,10,982.1550417489068,0.0,469,37
0.001423430649316464,0.001423430649316464,-1.7844958251093204,10,982.1550417489068,0.0,460,37
0.001423430649316464,0.0019741828084997846,-1.4449653050097255,8,985.5503469499027,0.0,438,35
0.001423430649316464,0.0027380313633457616,-1.3127731609670377,8,986.8722683903296,0.0,410,33
0.001423430649316464,0.0037974273275948587,-1.1596436356958066,7,988.4035636430419,0.0,380,27
0.001423430649316464,0.0052667235669437385,-1.1042095437360557,7,988.9579045626394,0.0,336,23
0.001423430649316464,0.007304518227125356,-0.8942959844057555,6,991.0570401559424,0.0,268,16
0.001423430649316464,0.010130774067067451,-0.46400192644804295,4,995.3599807355196,0.0,202,12
0.001423430649316464,0.01405056158486125,-0.3012478558632097,3,996.9875214413679,0.0,145,8
0.001423430649316464,0.0194869888068805,-0.1510592916083624,2,998.4894070839164,0.0,66,4
0.001423430649316464,0.02702687223325214,-0.022729738679333877,1,999.7727026132067,0.0,26,4
0.001423430649316464,0.03748407873332524,-0.1412350380248995,1,998.587649619751,0.0,14,2
0.001423430649316464,0.051987375614905004,0.0,0,1000.0,0.0,5,1
0.001423430649316464,0.07210227154182107,0.0,0,1000.0,0.0,2,1
0.001423430649316464,0.1,0.0,0,1000.0,0.0,1,1
0.0019741828084997846,0.00020000000000000004,-1.8567138542641488,10,981.4328614573585,0.0,490,37
0.0019741828084997846,0.00027738377130600574,-1.6817835696238035,9,983.182164303762,0.0,487,37
0.0019741828084997846,0.00038470878291971207,-1.6817835696238035,9,983.182164303762,0.0,485,37
0.0019741828084997846,0.0005335598653040656,-1.7844958251093204,10,982.1550417489068,0.0,475,37
0.0019741828084997846,0.0007400042382778307,-1.7844958251093204,10,982.1550417489068,0.0,472,37
0.0019741828084997846,0.0010263258319796638,-1.7844958251093204,10,982.1550417489068,0.0,466,37
0.0019741828084997846,0.001423430649316464,-1.7844958251093204,10,982.1550417489068,0.0,457,37
0.0019741828084997846,0.0019741828084997846,-1.4449653050097255,8,985.5503469499027,0.0,435,35
0.0019741828084997846,0.0027380313633457616,-1.3127731609670377,8,986.8722683903296,0.0,408,33
0.0019741828084997846,0.0037974273275948587,-1.1596436356958066,7,988.4035636430419,0.0,378,27
0.0019741828084997846,0.0052667235669437385,-1.1042095437360557,7,988.9579045626394,0.0,335,23
0.0019741828084997846,0.007304518227125356,-0.8942959844057555,6,991.0570401559424,0.0,267,16
0.0019741828084997846,0.010130774067067451,-0.46400192644804295,4,995.3599807355196,0.0,201,12
0.0019741828084997846,0.01405056158486125,-0.3012478558632097,3,996.9875214413679,0.0,145,8
0.0019741828084997846,0.0194869888068805,-0.1510592916083624,2,998.4894070839164,0.0,66,4
0.0019741828084997846,0.02702687223325214,-0.022729738679333877,1,999.7727026132067,0.0,26,4
0.0019741828084997846,0.03748407873332524,-0.1412350380248995,1,998.587649619751,0.0,14,2
0.0019741828084997846,0.051987375614905004,0.0,0,1000.0,0.0,5,1
0.0019741828084997846,0.07210227154182107,0.0,0,1000.0,0.0,2,1
0.0019741828084997846,0.1,0.0,0,1000.0,0.0,1,1
0.0027380313633457616,0.00020000000000000004,-1.8567138542641488,10,981.4328614573585,0.0,487,37
0.0027380313633457616,0.00027738377130600574,-1.6185572342746808,9,983.8144276572532,0.0,484,35
0.0027380313633457616,0.00038470878291971207,-1.6185572342746808,9,983.8144276572532,0.0,482,35
0.0027380313633457616,0.0005335598653040656,-1.6510158982717145,9,983.4898410172829,0.0,472,35
0.0027380313633457616,0.0007400042382778307,-1.6510158982717145,9,983.4898410172829,0.0,469,35
0.0027380313633457616,0.0010263258319796638,-1.6510158982717145,9,983.4898410172829,0.0,463,35
0.0027380313633457616,0.001423430649316464,-1.6510158982717145,9,983.4898410172829,0.0,454,35
0.0027380313633457616,0.0019741828084997846,-1.4449653050097255,8,985.5503469499027,0.0,433,35
0.0027380313633457616,0.0027380313633457616,-1.3127731609670377,8,986.8722683903296,0.0,406,33
0.0027380313633457616,0.0037974273275948587,-1.1596436356958066,7,988.4035636430419,0.0,378,27
0.0027380313633457616,0.0052667235669437385,-1.1042095437360557,7,988.9579045626394,0.0,335,23
0.0027380313633457616,0.007304518227125356,-0.8942959844057555,6,991.0570401559424,0.0,267,16
0.0027380313633457616,0.010130774067067451,-0.46400192644804295,4,995.3599807355196,0.0,201,12
0.0027380313633457616,0.01405056158486125,-0.3012478558632097,3,996.9875214413679,0.0,145,8
0.0027380313633457616,0.0194869888068805,-0.1510592916083624,2,998.4894070839164,0.0,66,4
0.0027380313633457616,0.02702687223325214,-0.022729738679333877,1,999.7727026132067,0.0,26,4
0.0027380313633457616,0.03748407873332524,-0.1412350380248995,1,998.587649619751,0.0,14,2
0.0027380313633457616,0.051987375614905004,0.0,0,1000.0,0.0,5,1
0.0027380313633457616,0.07210227154182107,0.0,0,1000.0,0.0,2,1
0.0027380313633457616,0.1,0.0,0,1000.0,0.0,1,1
0.0037974273275948587,0.00020000000000000004,-1.6510942180298682,9,983.4890578197013,0.0,480,37
0.0037974273275948587,0.00027738377130600574,-1.4124386369856439,8,985.8756136301436,0.0,477,35
0.0037974273275948587,0.00038470878291971207,-1.4124386369856439,8,985.8756136301436,0.0,475,35
0.0037974273275948587,0.0005335598653040656,-1.4449653050097255,8,985.5503469499027,0.0,465,35
0.0037974273275948587,0.0007400042382778307,-1.4449653050097255,8,985.5503469499027,0.0,462,35
0.0037974273275948587,0.0010263258319796638,-1.4449653050097255,8,985.5503469499027,0.0,456,35
0.0037974273275948587,0.001423430649316464,-1.4449653050097255,8,985.5503469499027,0.0,448,35
0.0037974273275948587,0.0019741828084997846,-1.4449653050097255,8,985.5503469499027,0.0,430,35
